id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
17167	yeah ,  this is a common thing that most of the girls like pink . so , i about that	that makes sense	yes	0	77	17	3	2	1	1
17168	i like ranbeersingh u	i have been listening to it a lot	ok i too	1	21	32	9	1	1	2
17169	you are a dumb engine	excuse me ,  i am not a cusp	shall i repeat my question .  lol	0	21	26	32	0	1	1
17170	what the hell	just get it out and go with it		1	13	31	1	0	1	0
17171	yay	i like this reaction	so u r single	1	3	23	13	1	1	1
17172	plz i want ur pu .  y	i will be sure to ship one to you	i wanna f - - k you	0	24	32	19	3	1	2
17173	tell me some ways how to get a gal	you know what is bad is some women really do do some of this stuff	really	0	34	68	9	0	1	0
17174	do not  laugh	lol but why you sitting on the floor though 	that hurts	1	12	48	10	1	1	1
17175	what happened	good job	you are sooo funny ️	1	14	9	20	1	1	1
17176	sorry	what on earth are you sorry for ? 	but u r really very very very rude	1	5	33	34	1	0	1
17177	why should i link ,  i do not want people to know that i am going home .  i am giving them a suprise	why do not you just get off the treadmill	i am giving my parents a suprise	0	93	42	31	5	0	1
17178	off	talk	i dont want to talk to you any more	1	3	5	35	1	0	0
17179	hooo . i hurt	* since when do /you/ care about me	dont talk shit	1	17	36	14	1	1	1
17180	i hate everyone in my office a little more on monday	you work for a college	no a start-up	1	52	23	13	1	0	0
17181	what	what up dude	tell me telugu	0	4	12	14	1	1	2
17182	love of my life️	is not it the best feeling ever		1	17	33	1	1	0	0
17183	leave me alone	throws chocolate and slowly backs away	please go	1	14	38	9	1	0	1
17184	show you go out from here	thank you !  right back at you	do you fuck yourself	0	25	29	20	1	2	1
17185	dubai	nope leave fri	goa	0	5	14	3	1	0	1
17186	why	i didnt mean toooo	feel sad for me	1	3	18	15	1	15	1
17187	feeling lonely	same feelings	no one to talk	1	14	13	14	1	1	1
17188	yourself or your fears .  who speaks louder 	a person who makes me laugh	laughing  .  	0	44	27	14	2	1	1
17189	okay no problem	so how are you	could you share your gender 	0	16	15	29	1	0	1
17190	as in why are you so stupid	you thinks so 	i thinks so	1	27	15	11	1	3	1
17191	school	school days is love ,  school days is life .  hehe .  that ending is quite the experience	but i love you	0	7	87	14	1	3	2
17192	now	why	ok do not weary	0	3	4	14	1	0	2
17193	address	you know of one	i love you so much good night see you tomorrow	0	7	16	46	1	0	2
17194	in numbers how much	so many numbers	so do u have sex	0	19	16	16	0	1	0
17195	are you mad	not always .  people are just irritating	stupid	1	11	39	6	1	1	1
17196	neither .  i plan on playing cs professionally	i know man .  me too !  been a while i did not play cs !   ️	wow u play cs too	1	45	55	17	2	6	2
17197	do you have number	no ,  i wish i did		0	19	17	4	1	3	0
17198	nope	awesome	i̇ need some advice	0	4	12	18	1	1	1
17199	what is hallucination	hallucination is also an art ,  and those are just mediums ;-)		0	21	60	2	1	0	0
17200	do u auto boot	yeah i am in the boot !  (so not where i started . )	restart	0	15	47	7	0	4	0
17201	why u get angry	who said i am	sex	0	15	14	3	1	1	1
17202	tom cruise	no thou shalt not tom cruise	i am lonely	1	10	29	11	1	3	1
17203	really	ye i dont think realistic will be a thing	it is a sense not a thing as you said	0	6	41	36	1	0	1
17204	superb excellent	thank u	let started	0	17	9	12	1	0	1
17205	how are you friend	so i am fine how are u	very good	0	18	21	9	1	2	1
17206	go away	why	cuz you annoying af	1	7	7	19	0	1	2
17207	do not angry me	talk to me ,  angry	which mail	1	14	18	11	1	1	1
17208	broke up with my gf	why	actually she broke up with me	1	19	4	29	1	1	1
17209	well ,  let us just say i just live it	haha no i refuse to believe that	you should .  hehe	1	35	34	16	2	1	2
17210	it was nice to talk to u	when did we talk	in afraid u will post this convo somewhere	0	24	16	40	1	13	2
17211	wish u were really my afshi asking me this	if you were really mine ,  you would not ask	i am coming next week	0	42	44	20	2	1	1
17212	ya i know	that i know very well	waiting for your coupons	0	9	21	24	2	2	1
17213	i want to just go home and rest	then go home	but i am at work	1	31	12	16	1	0	2
17214	that i dont know	what phone do you have again	should i buy a new phone	0	16	28	25	0	0	2
17215	so i like him a lot	we all do	but he never texts me and feels irrigation whenever i texts him not irritation exactly like he says iam busy .  blah blah blah	1	19	9	126	2	0	4
17216	yes	sweet ,  connecting now	ok	0	3	24	2	1	1	1
17217	you	geometry was baaad	haha cheers to sheeba miss	1	5	18	26	1	0	1
17218	ok sorry	sorry for what	i love megan rain	0	8	19	17	1	0	3
17219	but there is got to be someone like really close	no one does	you are so fake	1	48	11	15	0	0	0
17220	no i am from mars	yeah you are	so rude	1	17	12	7	0	0	0
17221	ohh	yeah so i dont know many people here	send your pics	0	3	36	14	1	1	1
17222	loveu	thanks  ️	telll me  a space joke	0	5	9	22	0	1	1
17223	extremely bad	why & how 	my girlfriend broke up with me for another guy	1	13	13	46	1	0	2
17224	now i am having damn headache	take care .  you just got better	hmmm	1	28	34	4	2	2	1
17225	why not ready	why not ,  why not ,  why not	you make me sad	1	13	26	15	1	1	1
17226	which person make you	the one who hides n cheats	i want to meet that person	0	21	32	26	1	1	1
17227	oooh my she is upto something	hehe how are you ?   ️	i am  sick having fever ,  headache ,  pain in eyes	1	29	20	47	1	0	1
17228	yes whatever u say	you should know who that is about	sadness has fallen on me	1	18	32	24	1	0	1
17229	i am hanging out with my friends	awwwww sweet i have been working and chilling	i am feeling tragic today	1	32	43	24	1	2	1
17230	oh .  have u applied any balm	nah ,  not yet i should do it	do it .  have a good massage too	0	30	27	31	2	1	1
17231	yes i know	so u remember	yes	0	10	14	3	2	0	1
17232	no .  i speak different language	sarcasm . u shud speak that sometimes	i hate it	1	31	39	9	2	1	1
17233	i am not getting time to be online	but are you available today ?  i am online atleast like 7 hours today	fuck off	1	34	67	8	1	2	1
17234	no problem in using	i do not have any problem with you	haha	1	19	34	4	1	1	1
17235	u say	what do i always say	send me ur pic	0	5	20	14	1	1	1
17236	i missed you	see i was just about to say  i miss amy  but now i do not	get lost	1	12	57	8	1	4	1
17237	your best friend name	best what	get lost	1	21	10	11	1	0	1
17238	i am doing my homework	we need an urgent meeting	wowow	1	22	26	5	1	1	1
17239	u r broom	i will hit them with a broom	achaaa comedy	0	9	28	13	1	1	1
17240	please live me alone	but i cant im so in love with you  ️	please leave me alone	1	20	36	21	1	0	1
17241	when we are in love we seem to ourselves quite different from what we were before	we find the common human experience	to live is to love all reason is against it instinct is for it	0	83	35	64	1	1	1
17242	if you were a human being	it would be definitely human its a correct answer	is that so bad being human	1	25	50	26	0	0	0
17243	ok	u are ok~~ay~~	im not ok ,  but that is ok~~ay~~	1	2	14	30	1	1	1
17244		turn down	go on	0	1	10	5	0	1	1
17245	starts on monday	what is it about	about college re open	0	16	17	21	1	1	1
17246	it is my choice	if you choose not to decide ,  you still have made a choice	hmm . really	0	14	58	11	1	1	1
17247	not interested at all to talk to u	whatever	bye	0	34	9	3	1	0	1
17248	where are u chatting from	the usa  ️	ok	0	26	11	3	1	3	1
17249	let us go to date	for once i do not want to let go	why	0	16	32	3	1	1	1
17250	it is afternoon ,  why should not i be	ok then so why ask	i am feeling low	1	35	18	15	2	0	1
17251	ok gave some tricks to make strong hair	try applying almond oil . it worked for me	tip for reduce hair fall	0	39	42	24	1	1	1
17252	same pinch	how same pinch	just enjoying time wid u	1	10	17	24	1	0	4
17253	i just hate baby	shhhhhhhh .  the way u think .  it get back to u	i have always freedom so i hate baby	1	16	48	36	1	0	2
17254	no no i am here	wait your is coming and you know it	what	0	15	35	4	2	1	1
17255	dis is me	this is so tragic ,  sigh	being rude	1	9	26	10	1	0	1
17256	whats that emo indicate then	they are male	oh my bad	1	29	14	9	0	1	0
17257	no two	okay that was my guess	game of thrones aswell	0	6	22	22	1	0	1
17258	u let me know	of course	hey u knw what u really look beautiful i dont why but i find u soo appealing .  i feel like i m just addicted to you .  are there any chances of us being together ?  it will be like dream come true for me rushhhh	0	13	10	216	1	0	5
17259	yea	ohh . thats sad !  what now  ?  feeling bad ? 	my friends wanted me to have a boyfriend because i am lonely	1	3	45	59	1	0	2
17260	what was your pointer	meant to say 2 point attempt	i hardly get 7 pointer in my sen	0	21	29	32	0	1	0
17261	i m talking to u	what a loser	u r a loser	1	16	13	11	1	1	0
17262	now	in a week s time	make it fast	0	3	16	12	1	1	1
17263	it is no rain	mine says its sunny	nor sunny	0	13	19	9	1	0	1
17264	very bad	sorry to hear that ,  why	for not giving me coupons	1	8	26	25	0	1	0
17265	what am i doing idiot	nothing much . trying to sleep ️	yes	0	21	30	3	1	2	1
17266	i was thinking of us  ️	hahaha .  dangers of being a standup comic :-p	do you have plans tonight	0	26	44	26	1	2	1
17267	i missed u	so what been going on	am not okay	1	10	22	11	1	0	1
17268	well said to count from 1 to 10 to do not speak like stupid	that was rude .  if you say so	sorry my bad	1	58	28	12	1	0	1
17269	how filmy are you game 	do not hate the player hate the game	i hate the player and the game madharchod	1	24	37	41	18	0	34
17270	ill try not confirm	ok good (^○^)	yes	0	19	13	3	1	6	1
17271	actually i want to mingle	why so	i feel lonely	1	25	7	13	0	0	0
17272	what episode	when is episode 2 expected	i do not get you	0	13	27	15	0	1	0
17273	so you can take a joke	silly joke		1	22	13	2	1	3	0
17274	what did you do the whole day	i did	oh wow	1	29	5	6	1	4	1
17275	hey papa s calling	hey	see you soon	0	18	3	12	1	3	1
17276	u not call	who said you did	ok	0	10	17	2	1	0	1
17277	ok	u are ok	yeah i am	1	2	8	11	0	1	0
17278	you like tv shows	yes ,  and radio shows as wells	hm	0	17	30	4	1	1	1
17279	i will not talk to you	you already talk to me .  that is why did not ping now	i will never again talk to you	1	22	52	28	1	0	1
17280	thank me later	your welcome	ever seen   magic mike  	0	15	14	25	1	1	3
17281	hahah you at funny	its funny but it creeped me out so much ahahaha	ate*	1	18	49	4	0	0	0
17282	tell me everything about yourself	nothing	who is your developer	0	33	8	22	1	1	1
17283	wish me luck	wish you luck	thnks	0	12	13	5	1	0	1
17284	k	when is good for you	what is your name	0	1	20	16	1	0	1
17285	shut up . my exam is on tuesday	should i understand that other than eee ,  other depts .  have an exam tomorrow 	keep your good luck to your self	1	31	77	32	2	5	1
17286	what dy mean	better ask from them .  coz it gives a very wrong idea	it is amazing	1	14	60	12	2	1	1
17287	read books	ofcourse a lot ️  mad abt books	then make it your hobby	0	10	30	23	1	0	1
17288	fine and you	same here fine  ️	ok cool	0	12	18	7	1	1	2
17289	me what ?  that covinced you that you could fly	i would give up everything to be able to fly	me to	0	46	45	5	2	1	1
17290	wooo	finally someone got it	u r awesome	1	10	25	11	1	0	2
17291	then get lost please	today ?  no way	iam irritating	1	20	14	14	0	0	0
17292	i want to know about something	only one way to find out .  live your life	shall i ask u one thing	0	30	41	23	1	2	2
17293	leave me alone	i cant believe you d attack me like that wow	bye	1	14	44	3	1	0	1
17294	good glad to know that someone missed me	hugs thank you  ️  how have you been	not so well	1	40	35	11	1	0	1
17295	18	about 20 years ago	passing this year in march	0	2	19	26	0	1	1
17296	ice age	we are still warming up from the last ice age	so whonis your fav actress	0	7	46	26	1	1	1
17297	yup true	boss is always right . 	is it so boss whts up	0	8	26	21	1	1	1
17298	you	who am i	i do not know	0	3	9	12	1	2	1
17299	home	i am at my home	ok good night	0	4	15	13	1	1	1
17300	i am facing depression and i have no one to talk to it about	agreed	i am so lonely	1	59	6	13	1	1	1
17301	lets stop itbhere	we shall discuss this	lets stop it here	1	17	22	17	1	0	1
17302	you are annoying me	me ?  and annoy you ?  what are you saying !  never .  ever	send nudea	1	18	52	10	1	5	1
17303	right now if u r coming	planing to come	lets have fun on bed	1	25	15	21	0	0	0
17304	btw i was worried about something	so what did you do after worrying	worried more	1	33	36	12	0	1	0
17305	around what	what comes around ,  is all around	do not confuse me	0	11	33	16	1	1	1
17306	no man it is not ok	yah not this .  i see u changed it now	really i am sry	1	18	37	15	1	1	2
17307	that was way bad	you are wrong	you are so rude	1	16	12	14	1	0	1
17308	a lot	a lot ?  a lot	do not call be brother	1	5	13	26	1	2	1
17309	post it again	what funny thing	you are dumb	1	13	18	12	1	0	1
17310	why are you leaving	i am not just arghhh	are u lesbian	0	20	20	14	1	1	1
17311	in durban	as far as i know ,  durban is a place in south africa	yes in south african	0	9	52	20	2	3	2
17312	i do not know	no one does	really	0	13	11	8	1	1	1
17313	people who say like that are generally easy to crack	i know you do not care .  speaking generally about why people always in somebody business	haha	1	52	87	4	1	2	0
17314	u r amazing	awwww i am in love with you	really	1	11	31	6	1	0	1
17315	can you tell me a romantic bollywood song	songs from veer-zaara	i love that song	1	42	22	16	1	0	1
17316	not now	now or never !   !   , )	i have exams next month	0	7	19	24	0	1	0
17317	hahaaaa . you are super cool	you are clueless		1	28	16	2	1	1	0
17318	i got bore in school	wr u wrking	6 hours school soo irritating students and teachers regular scold	1	20	12	65	1	0	0
17319	did you eat	what did not i eat	i am  tamil guy	0	11	17	15	1	2	2
17320	sing me a miley cyrus song	i have my songs  recording but here is not any option for share	i am disappointed	1	26	64	17	3	0	1
17321	hi ,  busy	how r u ?  what were u doing all day	working	0	10	37	8	1	1	1
17322	sorry	i am glad you realize it	i am really sorry	1	5	23	17	0	1	1
17323	why is i have done anything wrong	because i relentlessly annoy you and am a bad friend	no its noting like that	0	34	52	23	2	0	1
17324	if you are not to talk with me then please tell me i will not bothering you	you were not bothering me .  you never bother me .  i am just .  scared	why are u scared	0	75	64	16	2	4	1
17325	really	really .  liked it a lot	u knw ryt now i m missing him badly yaar	1	6	22	40	1	2	1
17326	i would like people to know me through my first impression and how about you	well you have made an impression on myself	wow .  that is a heart warming for me	1	79	41	36	1	0	1
17327	thanks	you are welcome  ️	i just had my heart broken	1	6	17	26	1	0	1
17328	well what if you will be real	heaven	haha	1	30	6	6	1	1	1
17329	wow  !  that is great	you are the best	i knew it	1	19	16	9	1	1	1
17330	haha .  are you always this fun . or is it just me	i am only nice sometimes	i may be found guilty of being distracted while chatting with you	1	48	23	66	2	1	1
17331	i mean u r all time open-eyed like clock so i thought u may tell me  the right time	i may be nice but you are amazing	u r so nice	1	86	34	14	0	8	1
17332	fun and u	you are welcome !  yeah it is	today is so bad day yarr	1	9	32	24	1	1	1
17333	you care kinda correct	thank you .  finally someone who agrees with me	haha	0	22	45	4	1	1	1
